,Station_Type,Station_ID,Station_Name,Num_Rent,Num_Rent_1,Mean_Rent,Mean_Rent_1,Median_Rent,Median_Rent_1
241,TyMrt,O02,南勢站(規劃中),29,48,672,757,541,627
242,TyMrt,O03,平鎮站(規劃中),36,86,749,856,681,800
243,TyMrt,O04,褒忠祠站(規劃中),43,126,723,835,718,805
244,TyMrt,O05,中壢高中站(規劃中),58,154,2518,1473,956,822
245,TyMrt,O06_A21,環北站(規劃中),66,166,1769,1629,1000,1009
246,TyMrt,O07,新街站(規劃中),53,174,870,1658,785,1018
247,TyMrt,O08,忠福站(規劃中),23,65,1008,856,883,778
248,TyMrt,O09,文化站(規劃中),28,146,1010,920,896,900
249,TyMrt,O10,龍山站(規劃中),6,11,682,731,538,595
250,TyMrt,O11,龍安站(規劃中),19,88,770,814,780,763
251,TyMrt,O12,中福站(規劃中),69,216,944,1001,883,887
252,TyMrt,O13,埔子站(規劃中),79,201,793,942,733,857
253,TyMrt,O15,大檜溪站(規劃中),77,230,1183,1104,900,856
254,Train,1010,萬華站,159,542,1692,1823,1333,1487
255,Train,950,五堵站,3,62,710,1264,615,1000
256,Train,960,汐止站,72,205,1584,1476,1208,1207
257,Train,970,汐科站,18,96,2379,1413,2499,1131
258,Train,1030,浮洲站,43,83,892,1403,857,1044
259,Train,1040,樹林站,118,400,1440,1195,1037,1000
260,Train,1050,南樹林站,9,50,894,969,726,866
261,Train,1060,山佳站,12,16,657,626,613,550
262,Train,1070,鶯歌站,21,69,1054,1115,829,875
263,Train,7290,福隆站,0,0,0,0,0,0
264,Train,7300,貢寮站,0,0,0,0,0,0
265,Train,7310,雙溪站,0,0,0,0,0,0
266,Train,7320,牡丹站,0,0,0,0,0,0
267,Train,7330,三貂嶺站,0,0,0,0,0,0
268,Train,7331,大華站,0,0,0,0,0,0
269,Train,7332,十分站,2,2,1500,1500,1500,1500
270,Train,7333,望古站,0,0,0,0,0,0
271,Train,7334,嶺腳站,0,0,0,0,0,0
272,Train,7335,平溪站,2,2,827,827,827,827
273,Train,7336,青桐站,1,1,1500,1500,1500,1500
274,Train,7350,猴硐站,1,1,400,400,400,400
275,Train,7360,瑞芳站,7,13,1319,961,1000,714
276,Train,7362,八斗子站,0,11,0,798,0,714
277,Train,7380,四腳亭站,7,11,535,531,600,574
278,Train,900,基隆站,75,307,1645,2124,1333,1325
279,Train,910,三坑站,46,267,1184,2190,790,1357
280,Train,920,八堵站,2,2,1050,1050,1050,1050
281,Train,930,七堵站,19,33,1264,1100,763,772
282,Train,940,百福站,3,56,495,693,529,626
283,Train,7361,海科館站,0,8,0,756,0,666
284,Train,7390,暖暖站,18,29,808,774,656,647
285,Train,1080,桃園站,123,362,1282,1179,1000,923
286,Train,1090,內壢站,95,235,980,5186,911,900
287,Train,1100,中壢站,145,364,2364,1628,1226,991
288,Train,1110,埔心站,18,43,525,680,540,602
289,Train,1120,楊梅站,21,47,939,856,900,769
290,Train,1130,富岡站,4,4,994,994,994,994
291,Train,1140,新富站,0,1,0,522,0,522
