,Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,N_Mrt,N_Train,N_Thsr,Station_Address,lat,lng,Vol_All,Vol_Workday,Vol_Weekend,Weekend_Percent
6,Train,1,970,汐科站,新北市,汐止區,N,0,1,0,新北市汐止區大同里大同路二段182號,25.0626721,121.6466498,17413.5350160592,19605.4045289855,11514.0416666667,0.180609164817928
7,Train,1,1030,浮洲站,新北市,板橋區,N,0,1,0,新北市板橋區僑中二街156號,25.004192,121.444737,5354.52925569055,5573.63351449275,4772.40277777778,0.242300971553545
8,Train,1,1040,樹林站,新北市,樹林區,N,0,1,0,新北市樹林區鎮前街112號,24.9913972,121.4244296,30021.2915793884,30044.1903985507,29980.0138888889,0.271657612069761
9,Train,1,1050,南樹林站,新北市,樹林區,N,0,1,0,新北市樹林區東山里中山路二段230號,24.9802026,121.4087031,2135.04541963413,2145.18514492754,2109.48611111111,0.268724457655405
10,Train,1,1060,山佳站,新北市,樹林區,N,0,1,0,新北市樹林區中山里山佳街28號,24.9727283,121.3925439,2793.28396871945,2746.91775362319,2917.125,0.284494033098746
11,Train,1,1070,鶯歌站,新北市,鶯歌區,N,0,1,0,新北市鶯歌區東鶯里文化路68號,24.954492,121.355208,17311.5426267281,17481.9079710145,16864.2222222222,0.264959578699239
12,Train,1,7290,福隆站,新北市,貢寮區,N,0,1,0,新北市貢寮區福隆里福隆街2號,25.0159203,121.9446682,1720.36520737327,1500.90778985507,2316.5,0.348255652746949
13,Train,1,7300,貢寮站,新北市,貢寮區,N,0,1,0,新北市貢寮區貢寮里朝陽街33號,25.0159203,121.9446682,407.268887026952,402.694565217391,420.902777777778,0.274838774269259
14,Train,1,7310,雙溪站,新北市,雙溪區,N,0,1,0,新北市雙溪區新基里朝陽街1號,25.038561,121.866504,1724.6646418098,1664.08423913043,1885.69444444444,0.29327879575799
15,Train,1,7320,牡丹站,新北市,雙溪區,N,0,1,0,新北市雙溪區牡丹里51號,25.0586431,121.8519913,282.690964949029,257.472282608696,351.194444444444,0.330395226899194
16,Train,1,7330,三貂嶺站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區碩仁里魚寮路1號,25.0655744,121.8226327,154.685169669041,122.932065217391,240.986111111111,0.422721154606607
17,Train,1,7331,大華站,新北市,平溪區,N,0,1,0,新北市平溪區南山里六分12之1號,25.049913,121.797543,17.9489177489178,14.8734848484849,26.2638888888889,0.39172047379366
18,Train,1,7332,十分站,新北市,平溪區,N,0,1,0,新北市平溪區十分里十分街51號,25.0409838,121.7749723,3213.12344644603,3102.9509057971,3518.47222222222,0.301616225030429
19,Train,1,7333,望古站,新北市,平溪區,N,0,1,0,新北市平溪區望古里,25.0346149,121.7638065,34.4006074570591,29.8215579710145,46.75,0.354416852521624
20,Train,1,7334,嶺腳站,新北市,平溪區,N,0,1,0,新北市平溪區嶺腳里嶺腳寮22號,25.0302012,121.7479383,58.4694525904203,52.7721014492754,73.6666666666667,0.340546453562373
21,Train,1,7335,平溪站,新北市,平溪區,N,0,1,0,新北市平溪區平溪里中華街12號,25.0255853,121.7400005,1034.35393101522,903.486775362319,1380.59722222222,0.370949169614316
22,Train,1,7350,猴硐站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區光復里柴寮路70號,25.087009,121.827423,1615.52101661779,1468.6759057971,2015.70833333333,0.337699760575238
23,Train,1,7360,瑞芳站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區龍潭里明燈路三段82號,25.1087356,121.8059692,12970.3582949309,13062.1266304348,12755.2916666667,0.2684460525043
24,Train,1,7362,八斗子站,基隆市,中正區,N,0,1,0,基隆市中正區砂子里省道台2線(與新北市瑞芳區交界處、無站房),25.1352871,121.8028626,539.769201228879,471.517210144928,729.041666666667,0.37424618944683
25,Train,1,7380,四腳亭站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區吉慶里中央路65號,25.102804,121.761917,1197.64453288647,1285.76902173913,962.375,0.218365533737395
26,Train,1,900,基隆站,基隆市,仁愛區,N,0,1,0,基隆市仁愛區港西街5號,25.1317072,121.738296,16021.2139715124,15913.6432971015,16338.2777777778,0.276552359651732
27,Train,1,910,三坑站,基隆市,仁愛區,N,0,1,0,基隆市仁愛區德厚里龍安街 206 號,25.1232383,121.7420108,2728.47015081692,2841.3722826087,2427.56944444444,0.2420941259563
28,Train,1,920,八堵站,基隆市,暖暖區,N,0,1,0,基隆市暖暖區八南里八堵路142 號地圖 ,25.1083766,121.7290366,4698.37424940651,4951.59239130435,4025.80555555556,0.232792118316028
29,Train,1,930,七堵站,基隆市,七堵區,N,0,1,0,基隆市七堵區東新街2號,25.0930993,121.7140236,11910.7574361123,12671.7641304348,9865.09722222222,0.225463486386953
30,Train,1,940,百福站,基隆市,七堵區,N,0,1,0,基隆市七堵區堵南里明德三路 1 之 1 號,25.0779332,121.6938105,4989.757191733,5273.8152173913,4229.41666666667,0.230672052627673
31,Train,1,7361,海科館站,基隆市,中正區,N,0,1,0,基隆市中正區長潭里,25.1375568,121.8000871,1316.862065354,1262.98985507246,1465.125,0.311251077373762
32,Train,1,7390,暖暖站,基隆市,暖暖區,N,0,1,0,基隆市暖暖區暖暖里暖暖街 51 號,25.10229,121.74032,745.57170786203,807.956884057971,579.166666666667,0.211027830275791
33,Train,1,1080,桃園站,桃園市,桃園區,N,0,1,0,桃園市桃園區武陵里中正路1號,24.9886541,121.3142952,56715.7471372713,54895.4126811594,61635.8055555556,0.295518814680198
34,Train,1,1090,內壢站,桃園市,中壢區,N,0,1,0,桃園市中壢區中原里中華路一段267號,24.9744162955845,121.257387379737,17659.0270911884,17773.0519927536,17351.0138888889,0.267383732660821
35,Train,1,1100,中壢站,桃園市,中壢區,N,0,1,0,桃園市中壢區石頭里中和路139號,24.9537299,121.2255944,54133.7240957967,50873.2115942029,62924.125,0.316006548432935
36,Train,1,1110,埔心站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區埔心里永美路208號,24.919588,121.183502,11217.4101033375,11443.8173913043,10619.0555555556,0.25737151067214
37,Train,1,1120,楊梅站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區楊梅里大成路256號,24.9143248,121.1464462,10173.2649420472,10155.6179347826,10228.2083333333,0.273455732114764
38,Train,1,1130,富岡站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區富岡里成功路37號,24.934427,121.083067,3457.42445189219,3387.85326086957,3648.375,0.287037962245219
39,Train,1,1140,新富站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區富豐里富全街1號,24.9310643,121.0675937,152.899560117302,152.023731884058,154.958333333333,0.276419253249166
0,TpMrt_Train_Thsr,1,BL07_Y16_1020_Banqiao,板橋站,新北市,板橋區,MTH,2,1,1,新北市板橋區站前路5號,25.0141846,121.4637528,124900.326942233,124551.317610892,125936.005555556,0.282871600854972
1,TpMrt_Train_Thsr,1,BL22_0980_Nangang,南港站,台北市,南港區,MTH,1,1,1,台北市南港區忠孝東路7段380號,25.052035,121.60697,56760.6014918773,59638.9385548027,49404.2944444445,0.240759845676767
2,TpMrt_Train,1,G19_0990,松山站,台北市,松山區,MT,1,1,0,台北市松山區八德路4段742號,25.050118,121.577706,81354.8975352605,86678.622898237,67736.3722222223,0.231021738503067
