,Name,Address,lng,lat,Type
78,路燈咖啡 公館店,100台灣台北市中正區羅斯福路三段244巷10弄19號,121.5315141,25.0161509,"['cafe', 'food', 'point_of_interest', 'establishment']"
79,Mövenpick Café-莫凡彼永和比漾店,234台灣新北市永和區中山路一段238號3樓,121.5073571,25.0078285,"['cafe', 'food', 'point_of_interest', 'establishment']"
80,愛麗斯cafe 4/f,110台灣台北市信義區松壽路12號號,121.5660665,25.03531,"['cafe', 'food', 'point_of_interest', 'establishment']"
81,Cafe Mode 木馬,105台灣台北市松山區富錦街376號,121.559133,25.060451,"['cafe', 'food', 'point_of_interest', 'establishment']"
82,石牌路易莎咖啡,112台灣台北市北投區裕民三路3號1樓,121.5162563,25.1161506,"['cafe', 'food', 'point_of_interest', 'establishment']"
83,明日咖啡 MOT CAFÉ 新富町店,108台灣台北市萬華區三水街70號,121.5019182,25.0357982,"['cafe', 'food', 'point_of_interest', 'establishment']"
84,三四cafe,235台灣新北市中和區民安街67號1樓,121.4785763,24.9995916,"['cafe', 'food', 'point_of_interest', 'establishment']"
85,cama café 台北六張犁,110台灣台北市信義區基隆路二段195號,121.5531672,25.0247394,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
86,THE BLACK ROSE CAFE,116台灣台北市文山區羅斯福路五段170巷4號,121.538379,25.00465,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
87,cama café 蘆洲集賢店,247台灣新北市蘆洲區集賢路409號1樓,121.4800191,25.0811035,"['food', 'point_of_interest', 'store', 'establishment']"
88,85度C咖啡蛋糕飲料(台北錦州店),10491台灣台北市中山區錦州街28-8號,121.5247066,25.0602256,"['cafe', 'food', 'point_of_interest', 'establishment']"
89,Mate cafe 美的咖啡,234台灣新北市永和區竹林路119巷3號,121.5202298,25.0115766,"['cafe', 'food', 'point_of_interest', 'establishment']"
90,9號咖啡館 - Cafe' 9 shop,224台灣新北市瑞芳區建基路二段9號,121.8074339,25.1328998,"['cafe', 'food', 'point_of_interest', 'establishment']"
91,85度C咖啡蛋糕飲料麵包(桃園龍安店),330台灣桃園市桃園區龍安街142號,121.2798306,24.9908862,"['cafe', 'food', 'point_of_interest', 'establishment']"
92,JOHN DOE CAFÉ 無名氏咖啡,116台灣台北市文山區羅斯福路五段225號,121.539265,25.001969,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
93,Louisa Coffee 路易．莎咖啡(八德忠勇門市),334台灣桃園市八德區忠勇六街3號,121.3051447,24.9648127,"['cafe', 'food', 'point_of_interest', 'establishment']"
94,Jamling cafe 東京鬆餅,106台灣台北市大安區安和路一段127巷29弄15號,121.5535472,25.0356667,"['cafe', 'food', 'point_of_interest', 'establishment']"
95,Le Marc Cafe 咖啡,11053台灣台北市信義區嘉興街179號,121.5568428,25.02716,"['cafe', 'food', 'point_of_interest', 'establishment']"
96,澐知道,"樓號, No. 128號4新生南路一段中正區台北市台灣 10061",121.5324972,25.0369482,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
97,AVENUE Fast Casual Eatery,106台灣台北市大安區安和路二段92號B1F,121.5502169,25.0287447,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']"
98,The Gathering Cafe 齊客咖啡,105台灣台北市松山區健康路8巷5號1樓,121.5529739,25.0523384,"['cafe', 'bicycle_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
99,晴境易得咖啡館 EIDOS cafe,106台灣台北市大安區忠孝東路三段217巷2弄5號,121.54005,25.042427,"['cafe', 'food', 'point_of_interest', 'establishment']"
100,Rebirth Cafe & Restaurant,106台灣台北市大安區溫州街48巷2號,121.532965,25.021359,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
