,Station_Type,Activated,Station_ID,Station_Name,T_Status,Num_Transfer,Num_Atm,Num_Cstore,Num_Med,Num_Ele,Num_Sec,Num_High,All_School,Num_POI,Num_Park,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dep,Old_Dep,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth,Vol_All,Vol_Workday,Weekend,Median_Rent,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging,Cat_Vol,Cat_Rent,Cat_Cafe,Cat_Drink,Cat_Bar,Cat_Gym,Cat_Lodging,Cat_Cafe_Pre,Potential
137,TpMrt,1,R22A,新北投站,N,1.0,27,12,39,23,7,0,30,10,12,30,5758.19,1129.06,15997.0,13.59,69.42,16.96,26.62,38.24,19.58,24.43,38.97,39.56,7.27,0.44,47.89,45.33,3.69,0.84,13.354,12.76,31.46,1666.0,14.0,1.0,0.0,7.0,3.0,6.0,3,4,0,0,2,0,3,-1.0
138,TpMrt,1,R23,復興崗站,N,1.0,8,5,1,6,1,0,7,1,4,28,4911.92,1050.68,14568.0,11.49,71.48,17.01,27.3,39.64,16.08,23.8,37.57,42.28,7.97,0.56,48.04,45.09,4.0,0.78,7.209,7.603,24.35,1000.0,1.0,0.0,0.0,2.0,0.0,6.0,1,0,0,0,0,0,0,0.0
139,TpMrt,1,R24,忠義站,N,1.0,4,2,1,6,1,2,9,1,2,23,3920.78,1011.55,12311.0,10.97,72.33,16.68,27.53,40.2,15.16,23.06,35.75,43.96,8.58,0.59,48.27,44.62,4.03,0.77,6.259,7.213999999999999,17.37,880.0,5.0,2.0,0.0,1.0,0.0,5.0,1,2,0,0,0,0,0,-2.0
140,TpMrt,1,R25,關渡站,N,1.0,18,8,5,8,1,3,12,3,7,13,2069.5,968.87,6942.0,10.54,73.74,15.7,27.93,40.92,14.3,21.29,33.68,46.07,8.97,0.62,48.43,45.02,4.91,0.68,23.951,26.385,21.06,1276.0,5.0,3.0,0.0,2.0,2.0,7.0,2,2,0,0,0,0,2,0.0
141,TpMrt,1,R26,竹圍站,N,1.0,18,10,16,9,2,0,11,0,0,13,2526.78,1033.87,7567.0,10.22,73.42,16.35,26.83,42.1,13.91,22.26,37.37,44.3,7.44,0.56,47.59,45.29,5.96,0.65,19.057,19.906,25.08,1103.0,4.0,1.0,2.0,2.0,0.0,7.0,2,2,0,0,0,0,1,-1.0
142,TpMrt_TpLr,1,R27_V01,紅樹林站,N,1.9999999999999998,8,5,2,4,0,0,4,1,0,26,2848.03,982.42,9219.0,10.23,73.92,15.89,26.81,42.46,13.84,21.5,36.45,45.81,6.9,0.57,47.43,44.12,5.66,0.57,22.325,22.287,28.39,1390.0,1.0,1.0,0.0,1.0,1.0,7.0,2,0,0,0,0,0,0,0.0
143,TpMrt,1,R28,淡水站,N,1.0,22,16,31,9,0,1,10,8,4,26,2703.21,939.27,9488.0,11.96,73.56,14.54,27.29,41.3,16.26,19.77,35.72,45.69,6.12,0.51,47.64,43.55,5.22,0.62,78.134,76.652,29.62,1966.0,11.0,6.0,7.0,7.0,4.0,8.0,3,3,1,1,2,0,3,0.0
144,TpLr,10,V02,竿蓁林站,N,1.0,8,5,1,2,0,0,2,1,1,28,3008.88,949.17,10280.0,11.67,73.62,14.78,27.09,41.62,15.86,20.07,36.14,45.45,6.24,0.52,47.32,43.61,5.26,0.6,0.0,0.0,0.0,743.0,1.0,0.0,0.0,3.0,2.0,0.0,1,0,0,0,0,0,0,0.0
145,TpLr,10,V03,淡金鄧公站,N,1.0,0,0,0,0,0,0,0,0,0,27,2658.97,941.56,9316.0,11.96,73.53,14.59,27.25,41.35,16.26,19.84,35.64,45.64,6.24,0.53,47.71,43.59,5.24,0.6,0.0,0.0,0.0,945.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0.0
146,TpLr,10,V04,淡江大學站,N,1.0,3,5,0,5,0,1,6,2,1,28,2680.25,939.45,9457.0,12.03,73.46,14.58,27.26,41.23,16.38,19.85,35.38,45.68,6.33,0.56,47.88,43.67,5.2,0.6,0.0,0.0,0.0,875.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
147,TpLr,10,V05,淡金北新站,N,1.0,12,10,9,15,2,1,18,2,2,30,3189.24,941.89,11382.0,12.43,73.41,14.22,27.61,40.89,16.94,19.38,35.62,45.35,6.04,0.56,47.95,43.88,6.12,0.68,0.0,0.0,0.0,1058.0,2.0,0.0,2.0,4.0,0.0,0.0,2,1,0,0,1,0,0,-1.0
148,TpLr,10,V06,新市一路站,N,1.0,8,6,6,18,2,0,20,0,4,31,3231.69,918.62,12014.0,12.34,73.57,14.16,27.86,40.81,16.77,19.24,35.2,45.83,6.08,0.55,48.02,43.82,6.31,0.67,0.0,0.0,0.0,1350.0,4.0,5.0,3.0,4.0,0.0,0.0,2,2,1,0,1,0,0,-2.0
149,TpLr,10,V07,淡水行政中心站,N,1.0,12,3,4,10,0,0,10,0,2,28,2812.27,903.98,10748.0,12.66,73.73,13.68,28.16,40.51,17.17,18.55,34.5,46.23,6.08,0.54,48.08,43.6,6.1,0.68,0.0,0.0,0.0,1138.0,1.0,3.0,1.0,2.0,0.0,0.0,2,0,0,0,0,0,0,0.0
150,TpLr,10,V08,濱海義山站,N,1.0,5,4,1,5,0,0,5,0,3,27,2792.72,904.67,10645.0,12.69,73.78,13.6,28.22,40.52,17.2,18.44,34.65,46.17,5.98,0.53,48.0,43.56,6.13,0.69,0.0,0.0,0.0,972.0,1.0,1.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0.0
151,TpLr,10,V09,濱海沙崙站,N,1.0,5,3,0,0,0,1,1,0,1,26,2596.48,893.8,10104.0,12.79,73.68,13.6,28.31,40.35,17.35,18.46,34.26,46.39,6.04,0.53,48.06,43.47,6.27,0.69,0.0,0.0,0.0,986.0,0.0,2.0,0.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0.0
152,TpLr,10,V10,淡海新市鎮站,N,1.0,0,0,0,0,0,1,1,0,1,22,2369.82,902.44,9158.0,13.06,73.71,13.29,28.38,40.28,17.72,18.03,34.49,46.11,5.82,0.52,48.03,43.62,6.56,0.71,0.0,0.0,0.0,903.0,0.0,3.0,2.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0.0
153,TpLr,10,V11,崁頂站,N,1.0,2,1,0,0,0,0,0,0,0,16,2176.46,916.02,8220.0,13.26,73.95,12.85,28.41,40.44,17.93,17.37,35.15,45.6,5.47,0.52,47.96,44.01,6.69,0.72,0.0,0.0,0.0,971.0,0.0,2.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
154,TpLr,10,V26,淡水魚人碼頭站,N,1.0,8,4,1,5,0,0,5,3,2,22,2303.51,905.47,8903.0,13.01,73.58,13.48,28.33,40.24,17.68,18.32,34.43,46.24,5.86,0.49,48.03,43.58,6.68,0.72,0.0,0.0,0.0,779.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0.0
155,TpLr,10,V27,沙崙站,N,1.0,5,3,0,0,0,1,1,0,2,26,2596.48,893.8,10104.0,12.79,73.68,13.6,28.31,40.35,17.35,18.46,34.26,46.39,6.04,0.53,48.06,43.47,6.27,0.69,0.0,0.0,0.0,1000.0,0.0,2.0,0.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0.0
156,TpLr,10,V28,台北海洋大學站,N,1.0,3,2,0,2,0,1,3,1,3,24,2421.94,901.35,9351.0,12.94,73.63,13.5,28.31,40.28,17.57,18.33,34.4,46.23,5.92,0.52,48.07,43.66,6.46,0.71,0.0,0.0,0.0,956.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0.0
157,TpMrt,0,Y01_BR01,動物園站(規劃中),M,1.9999999999999998,3,0,0,5,2,0,7,2,1,31,6354.88,1202.66,16319.0,12.45,71.46,16.05,26.97,39.53,17.42,22.47,43.43,37.59,5.96,0.42,48.12,45.62,3.87,0.8,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
158,TpMrt,0,Y02,政大站(規劃中),N,1.0,11,9,8,11,5,1,17,0,5,29,5939.2,1227.61,15032.0,12.62,71.5,15.85,26.74,39.64,17.65,22.16,43.26,37.63,5.88,0.43,48.2,45.6,3.88,0.78,0.0,0.0,0.0,1375.0,8.0,1.0,0.0,1.0,0.0,0.0,2,3,0,0,0,0,2,-1.0
159,TpMrt,0,Y03,文山區公所站(規劃中),N,1.0,19,10,14,16,6,1,23,0,5,37,7983.12,1226.47,20042.0,13.15,70.9,15.94,26.52,39.35,18.55,22.48,43.84,36.94,5.52,0.39,47.91,45.85,4.09,0.78,0.0,0.0,0.0,1228.0,8.0,1.0,0.0,4.0,0.0,0.0,2,3,0,0,1,0,3,0.0
160,TpMrt,0,Y04,馬明潭站(規劃中),N,1.0,17,10,20,29,6,0,35,0,11,62,11720.18,1180.52,30512.0,12.25,70.51,17.22,26.19,39.6,17.37,24.43,43.67,38.06,5.5,0.36,47.74,45.84,4.47,0.72,0.0,0.0,0.0,1267.0,3.0,0.0,2.0,5.0,0.0,0.0,2,1,0,0,1,0,3,2.0
161,TpMrt,0,Y05,溝子口站(規劃中),N,1.0,18,9,5,22,7,1,30,3,4,88,14934.86,1162.7,39508.0,11.8,70.34,17.83,26.05,39.67,16.77,25.35,43.16,38.96,5.58,0.37,47.66,45.85,4.61,0.69,0.0,0.0,0.0,1458.0,1.0,0.0,2.0,1.0,1.0,0.0,2,0,0,0,0,0,2,2.0
162,TpMrt,0,Y06,寶斗厝站(規劃中),N,1.0,23,10,6,21,4,1,26,0,7,86,14201.07,1150.35,37879.0,11.59,70.4,17.99,26.14,39.68,16.46,25.55,43.08,39.2,5.63,0.37,47.62,45.87,4.6,0.68,0.0,0.0,0.0,1357.0,7.0,1.0,2.0,1.0,0.0,0.0,2,3,0,0,0,0,3,0.0
163,TpMrt,1,Y08,十四張站,N,1.0,2,0,0,7,1,0,8,1,3,137,18150.88,1070.6,54098.0,11.12,70.73,18.13,25.86,40.31,15.72,25.64,39.74,42.68,5.96,0.37,47.66,44.81,4.79,0.63,2.303,2.536,22.91,1363.0,2.0,0.0,0.0,2.0,0.0,4.0,2,1,0,0,0,0,0,-1.0
164,TpMrt,1,Y09,秀朗橋站,N,1.0,9,7,9,18,1,0,19,0,2,159,20030.51,1065.28,60180.0,11.2,70.59,18.2,25.88,40.16,15.86,25.78,39.78,42.52,6.0,0.38,47.65,44.74,4.81,0.63,4.788,4.82,29.53,1181.0,1.0,0.0,0.0,3.0,0.0,5.0,2,0,0,0,0,0,0,0.0
165,TpMrt,1,Y10,景平站,N,1.0,31,17,36,36,1,0,37,0,5,167,19141.1,1034.65,59636.0,11.17,70.95,17.87,25.95,40.38,15.74,25.18,38.39,43.63,6.28,0.4,47.72,44.43,4.73,0.63,6.72,7.09,26.14,1250.0,4.0,2.0,3.0,12.0,0.0,6.0,2,2,0,0,3,0,3,1.0
166,TpMrt,1,Y12,中和站,N,1.0,46,22,34,17,3,0,20,1,5,192,19357.3,954.83,68167.0,11.43,71.57,17.0,26.86,39.99,15.97,23.75,34.39,46.09,7.43,0.51,48.18,43.74,4.33,0.68,8.982000000000003,9.017,29.72,1227.0,3.0,3.0,3.0,5.0,0.0,6.0,2,1,0,0,1,0,4,3.0
167,TpMrt,1,Y13,橋和站,N,1.0,25,12,3,12,0,0,12,2,4,191,19660.24,963.22,69070.0,11.74,71.58,16.68,26.93,39.89,16.4,23.3,33.89,46.04,7.67,0.52,48.23,43.7,4.21,0.69,3.585,4.134,19.28,1211.0,5.0,2.0,2.0,3.0,0.0,5.0,2,2,0,0,0,0,2,0.0
168,TpMrt,1,Y14,中原站,N,1.0,34,15,3,16,2,0,18,1,4,196,20219.45,959.77,72279.0,12.07,71.77,16.15,27.39,39.56,16.82,22.5,33.17,46.03,8.05,0.53,48.4,43.79,4.06,0.7,5.004,6.1179999999999986,14.42,1217.0,3.0,0.0,0.0,3.0,0.0,5.0,2,1,0,0,0,0,2,1.0
169,TpMrt,1,Y15,板新站,N,1.0,32,16,23,35,5,0,40,0,7,165,15851.57,925.42,59956.0,12.44,72.05,15.52,28.13,39.07,17.27,21.54,31.36,46.88,8.62,0.56,48.69,43.56,3.83,0.74,4.912,5.439,22.5,1295.0,10.0,1.0,4.0,7.0,2.0,5.0,2,3,0,0,2,0,4,1.0
170,TpMrt,1,Y17,新埔民生站,N,1.0,45,26,75,47,3,1,51,1,5,169,15759.82,922.06,59785.0,12.56,71.75,15.69,28.15,38.74,17.51,21.87,31.15,46.75,8.81,0.57,48.77,43.39,3.66,0.73,4.292,4.45,27.42,1333.0,24.0,4.0,9.0,9.0,0.0,5.0,2,4,1,1,2,0,4,0.0
171,TpMrt,1,Y19,幸福站,N,1.0,29,16,29,31,1,0,32,3,4,103,11074.34,922.09,41168.0,12.88,73.56,13.54,28.85,39.44,17.51,18.4,30.98,47.6,7.94,0.48,48.84,43.26,3.87,0.75,6.854,6.973,28.78,1125.0,6.0,1.0,1.0,6.0,0.0,6.0,2,3,0,0,1,0,3,0.0
172,TpMrt_TyMrt,1,Y20_A3,新北產業園區站,M,1.9999999999999998,19,10,2,9,1,0,10,0,5,109,10893.6,876.25,43704.0,13.01,74.37,12.6,29.51,39.4,17.5,16.95,29.59,49.01,7.8,0.48,48.97,42.67,3.86,0.75,7.707999999999997,8.091000000000001,26.53,1299.0,4.0,1.0,2.0,4.0,0.0,6.0,2,2,0,0,1,0,2,0.0
173,TpMrt,0,Y21,工商展覽中心站(規劃中),N,1.0,14,4,0,2,0,0,2,0,1,92,10008.5,879.79,40056.0,13.62,74.98,11.4,30.13,39.19,18.17,15.21,29.49,48.77,7.55,0.46,48.92,42.99,4.35,0.79,0.0,0.0,0.0,866.0,3.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,-1.0
174,TpMrt,0,Y22,更寮站(規劃中),N,1.0,3,2,0,11,0,0,11,1,1,100,10290.62,860.28,42684.0,12.94,75.34,11.71,30.48,39.32,17.17,15.54,29.12,49.43,7.91,0.49,49.06,42.66,4.39,0.79,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
175,TpMrt,0,Y23,中路站(規劃中),N,1.0,12,10,6,18,1,0,19,0,2,113,10152.76,855.19,42845.0,12.35,74.87,12.76,29.91,39.58,16.5,17.05,28.74,49.81,8.45,0.54,49.17,42.2,4.0,0.76,0.0,0.0,0.0,1103.0,1.0,1.0,1.0,2.0,0.0,0.0,2,0,0,0,0,0,0,0.0
176,TpMrt,0,Y24_O52,徐匯中學站(規劃中),M,1.9999999999999998,33,19,45,36,5,0,41,0,11,153,11959.45,839.91,51615.0,12.0,74.37,13.63,29.57,39.57,16.13,18.33,28.43,49.76,9.11,0.57,49.22,42.11,3.87,0.76,0.0,0.0,0.0,1000.0,8.0,0.0,2.0,8.0,1.0,0.0,1,3,0,0,2,0,3,0.0
177,TpMrt,0,Y25,分子尾站(規劃中),N,1.0,14,9,10,31,1,0,32,0,9,127,10657.7,836.75,46338.0,12.29,74.24,13.46,29.71,39.26,16.56,18.13,28.29,49.52,9.18,0.57,49.13,42.34,3.85,0.77,0.0,0.0,0.0,1070.0,4.0,0.0,0.0,5.0,0.0,0.0,2,2,0,0,1,0,2,0.0
178,TpMrt,0,Y26,五華國小站(規劃中),N,1.0,9,8,10,23,2,0,25,0,8,144,12242.43,865.13,50054.0,11.95,73.25,14.8,29.15,39.11,16.31,20.2,29.44,48.45,9.45,0.57,49.02,42.76,3.82,0.76,0.0,0.0,0.0,986.0,1.0,0.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,2,2.0
179,TpMrt,0,Y27,社子站(規劃中),N,1.0,22,14,33,25,3,0,28,0,7,118,12855.95,1000.54,42363.0,12.23,70.53,17.24,27.39,38.65,17.34,24.45,34.02,44.28,8.81,0.52,48.42,43.85,4.13,0.79,0.0,0.0,0.0,1525.0,3.0,0.0,0.0,2.0,0.0,0.0,3,1,0,0,0,0,3,2.0
180,TpMrt,0,Y28,士林區公所站(規劃中),N,1.0,26,11,29,17,6,1,24,2,9,73,12425.42,1119.51,34880.0,13.04,69.0,17.96,26.77,37.77,18.9,26.04,38.09,40.54,7.75,0.44,48.16,45.48,3.81,0.8,0.0,0.0,0.0,2400.0,14.0,4.0,7.0,6.0,0.0,0.0,4,4,1,1,1,0,3,-1.0
181,TpMrt,0,Y29_R16,士林站(規劃中),M,1.9999999999999998,37,16,67,17,7,1,25,4,10,64,12712.71,1183.9,32830.0,13.49,68.31,18.2,26.44,37.44,19.75,26.65,40.23,38.66,7.12,0.37,47.83,45.96,3.87,0.8,0.0,0.0,0.0,3500.0,14.0,5.0,10.0,12.0,4.0,0.0,6,4,1,1,3,0,4,0.0
182,TpMrt,0,Y30,雨農站(規劃中),N,1.0,7,2,10,16,3,0,19,6,12,57,12144.29,1244.67,29703.0,13.83,68.03,18.14,26.25,37.31,20.33,26.66,41.29,37.63,6.77,0.35,47.66,46.2,3.9,0.8,0.0,0.0,0.0,1315.0,11.0,1.0,6.0,9.0,1.0,0.0,2,3,0,1,2,0,3,0.0
183,TpMrt,0,Y31,故宮博物院站(規劃中),N,1.0,4,2,0,2,3,1,6,6,3,37,8630.41,1374.27,18195.0,13.04,68.33,18.62,26.3,37.64,19.08,27.25,45.55,35.58,5.45,0.29,47.41,47.11,4.13,0.79,0.0,0.0,0.0,756.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
184,TpMrt,0,Y32_BR15,劍南路站(規劃中),M,1.9999999999999998,22,7,8,15,1,1,17,3,8,31,8067.21,1362.47,17030.0,13.55,68.56,17.87,26.18,37.91,19.76,26.06,45.99,35.07,4.99,0.29,47.23,47.02,4.37,0.79,0.0,0.0,0.0,1936.0,11.0,1.0,2.0,4.0,0.0,0.0,3,3,0,0,1,0,3,0.0
185,TyMrt,1,A4,新莊副都心站,N,1.0,8,4,0,19,1,0,20,1,2,79,8456.69,896.03,32550.0,13.49,74.2,12.28,29.5,39.17,18.18,16.55,30.1,48.49,7.4,0.42,48.93,43.17,3.98,0.76,0.05,0.05,28.95,1513.0,4.0,0.0,0.0,2.0,0.0,1.0,3,2,0,0,0,0,0,-2.0
186,TyMrt,1,A5,泰山站,N,1.0,4,0,0,21,3,0,24,0,6,76,8189.68,903.54,31030.0,13.67,73.74,12.57,29.28,39.01,18.53,17.04,30.27,48.15,7.41,0.41,48.86,43.35,3.98,0.77,0.053,0.053,27.4,1029.0,2.0,1.0,0.0,4.0,0.0,1.0,2,1,0,0,1,0,0,-1.0
187,TyMrt,1,A6,泰山貴和站,N,1.0,7,3,0,10,1,1,12,0,1,71,7164.74,845.0,29027.0,13.78,74.41,11.8,30.67,38.27,18.52,15.86,29.11,49.41,7.22,0.38,48.92,43.21,3.77,0.79,0.16399999999999998,0.172,24.78,1062.0,2.0,0.0,0.0,2.0,0.0,2.0,2,1,0,0,0,0,0,-1.0
188,TyMrt,1,A7,體育大學站,N,1.0,6,5,3,1,0,1,2,1,0,9,1724.11,1193.98,4679.0,16.52,74.14,9.36,29.69,39.18,22.28,12.63,36.89,41.08,5.04,0.36,47.85,44.73,7.99,1.07,0.728,0.736,27.39,1036.0,0.0,0.0,0.0,1.0,0.0,3.0,2,0,0,0,0,0,0,0.0
189,TyMrt,1,A8,長庚醫院站,N,1.0,15,11,17,17,2,0,19,1,8,15,3376.13,1249.49,9053.0,17.42,73.06,9.53,28.34,39.11,23.84,13.05,37.26,39.87,4.98,0.41,48.26,44.52,8.6,0.96,1.579,1.702,22.65,1036.0,3.0,0.0,6.0,5.0,2.0,4.0,2,1,0,1,1,0,1,0.0
190,TyMrt,1,A9,林口站,N,1.0,14,4,6,14,1,0,15,1,4,14,3357.1,1252.65,8971.0,17.48,73.02,9.5,28.37,39.08,23.94,13.01,37.41,39.71,4.94,0.39,48.21,44.54,8.65,0.96,0.29600000000000004,0.271,34.1,1552.0,2.0,5.0,4.0,2.0,1.0,2.0,3,1,1,0,0,0,0,-1.0
191,TyMrt,1,A10,山鼻站,N,1.0,4,3,1,5,0,0,5,1,0,11,858.16,893.92,3770.0,14.27,74.03,11.59,30.74,37.19,19.28,15.66,26.21,49.36,8.7,1.25,50.8,44.22,4.06,1.03,0.6459999999999999,0.6579999999999999,26.98,450.0,1.0,0.0,0.0,1.0,0.0,3.0,0,0,0,0,0,0,0,0.0
192,TyMrt,1,A11,坑口站,N,1.0,1,0,0,1,0,0,1,1,0,8,529.36,810.66,2760.0,13.22,74.09,12.57,31.41,36.7,17.85,16.97,24.42,50.29,10.18,1.56,50.98,44.13,3.95,1.09,0.376,0.391,25.27,,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0.0
193,TyMrt,1,A12,機場第一航廈站,N,1.0,2,0,0,0,0,0,0,2,0,5,326.88,801.18,1889.0,13.71,73.43,12.81,31.34,36.32,18.67,17.45,25.52,48.97,10.01,1.64,50.87,45.05,4.66,1.01,0.581,0.613,24.35,,7.0,9.0,3.0,1.0,1.0,3.0,0,3,2,0,0,0,0,-3.0
194,TyMrt,1,A13,機場第二航廈站,N,1.0,3,3,0,0,0,0,0,3,0,6,387.88,789.98,1874.0,13.34,73.27,13.39,30.58,36.87,18.21,18.28,24.28,49.89,10.14,2.19,51.39,44.77,4.0,0.96,0.77,0.813,24.28,,7.0,0.0,6.0,1.0,1.0,3.0,0,3,0,1,0,0,0,-3.0
195,TyMrt,0,A14,機場第三航廈站,N,1.0,3,3,0,0,0,0,0,3,0,6,387.88,789.98,1874.0,13.34,73.27,13.39,30.58,36.87,18.21,18.28,24.28,49.89,10.14,2.19,51.39,44.77,4.0,0.96,0.0,0.0,0.0,,7.0,0.0,6.0,1.0,1.0,0.0,0,3,0,1,0,0,0,-3.0
196,TyMrt,1,A14a,機場旅館站,N,1.0,4,2,0,0,0,0,0,0,0,8,976.75,890.38,4132.0,15.51,72.46,12.05,31.27,35.41,21.41,16.63,28.34,45.98,8.49,1.52,50.41,44.41,6.0,1.09,0.12,0.136,18.78,,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0
197,TyMrt,1,A15,大園站,N,1.0,3,1,0,5,0,0,5,0,1,7,946.0,886.6,4044.0,15.33,72.85,11.82,31.38,35.56,21.05,16.23,28.17,46.41,8.38,1.58,50.59,44.11,6.11,1.09,0.562,0.586,25.27,880.0,1.0,1.0,0.0,0.0,0.0,3.0,1,0,0,0,0,0,0,0.0
198,TyMrt,1,A16,橫山站,N,1.0,0,0,0,0,0,0,0,0,0,6,956.31,982.85,3550.0,15.77,73.38,10.87,32.03,35.83,21.5,14.82,31.8,43.58,7.32,1.41,50.68,45.69,8.45,1.15,0.13699999999999998,0.145,23.86,,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0.0
199,TyMrt,1,A17,領航站,N,1.0,9,5,0,4,1,0,5,1,1,4,643.24,1072.07,2099.0,16.72,73.42,9.81,33.21,35.16,22.78,13.37,36.06,39.92,6.24,0.95,50.6,47.69,10.48,1.29,0.35100000000000003,0.406,17.03,1151.0,0.0,0.0,1.0,1.0,3.0,3.0,2,0,0,0,0,0,0,0.0
200,TyMrt_Thsr,1,A18_Taoyuan,高鐵桃園站,MH,1.9999999999999998,11,1,1,2,1,0,3,0,2,4,620.84,1128.8,1946.0,16.55,73.18,10.28,32.94,35.61,22.61,14.04,38.18,38.13,6.01,0.92,50.62,48.3,11.61,1.34,0.862,0.818,31.75,1397.0,7.0,4.0,1.0,3.0,4.0,3.0,2,3,1,0,0,0,0,-3.0
201,TyMrt,1,A19,桃園體育園區站,N,1.0,5,2,0,3,0,0,3,2,2,7,956.08,1050.64,3261.0,15.33,73.32,11.28,32.35,35.97,20.91,15.39,35.11,41.46,6.9,0.95,50.69,47.56,8.89,1.13,0.211,0.207,29.4,1132.0,3.0,2.0,1.0,2.0,0.0,2.0,2,1,0,0,0,0,0,-1.0
202,TyMrt,1,A20,興南站,N,1.0,1,0,0,1,0,0,1,0,0,29,2990.52,1003.53,10502.0,13.69,72.26,14.04,29.72,37.47,18.95,19.42,35.17,43.95,6.5,0.47,49.45,44.78,4.87,0.98,0.037000000000000005,0.038,26.56,372.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,-1.0
203,TyMrt,1,A21,環北站,N,1.0,8,5,17,10,3,0,13,1,2,55,6250.5,980.62,22603.0,15.72,71.78,12.5,29.68,36.6,21.91,17.41,34.67,43.26,5.81,0.38,48.99,43.44,4.51,0.99,0.929,0.935,27.72,1000.0,14.0,0.0,7.0,4.0,2.0,4.0,1,4,0,1,1,0,1,-3.0
204,TyMrt,0,A22,老街溪站(規劃中),N,1.0,33,17,68,14,5,0,19,7,5,60,6589.65,977.11,23867.0,15.1,72.14,12.76,29.92,36.7,20.94,17.69,34.65,43.74,5.96,0.4,49.14,43.55,4.45,0.98,0.0,0.0,0.0,1100.0,26.0,0.0,26.0,7.0,6.0,0.0,2,4,0,4,2,0,3,-1.0
205,TyMrt_Train,0,A23_1100,中壢車站(規劃中),MT,1.9999999999999998,48,20,84,17,2,1,20,4,7,66,7350.4,964.75,27016.0,15.0,72.33,12.67,29.99,36.79,20.74,17.52,34.26,44.18,6.01,0.4,49.05,43.44,4.41,0.99,0.0,0.0,0.0,1226.0,14.0,0.0,18.0,6.0,6.0,0.0,2,4,0,3,1,0,3,-1.0
206,TyMrt,0,G01,八德站(規劃中),N,1.0,7,5,1,3,1,0,4,0,3,31,2421.99,836.32,11215.0,14.45,72.98,12.52,31.41,36.1,19.8,17.15,27.53,48.05,8.94,0.76,49.99,43.15,5.99,1.18,0.0,0.0,0.0,824.0,1.0,3.0,1.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0.0
207,TyMrt,0,G02,建國路站(規劃中),N,1.0,6,5,1,2,1,0,3,0,2,34,2581.24,834.27,11991.0,14.61,72.6,12.76,31.15,36.05,20.13,17.58,27.19,47.79,9.32,0.79,50.2,43.42,5.95,1.18,0.0,0.0,0.0,900.0,1.0,1.0,1.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0.0
208,TyMrt,0,G03,麻園站(規劃中),N,1.0,5,5,2,5,0,0,5,1,0,40,3206.42,853.91,14245.0,14.61,73.0,12.36,31.29,36.26,20.01,16.93,28.03,47.32,9.02,0.77,49.93,43.71,5.61,1.17,0.0,0.0,0.0,564.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
209,TyMrt,0,G05,忠勇西街站(規劃中),N,1.0,10,5,2,10,0,0,10,0,6,65,6495.93,920.76,25297.0,14.78,72.84,12.4,30.02,37.05,20.29,17.02,31.55,45.22,7.72,0.57,49.12,43.35,4.48,0.98,0.0,0.0,0.0,940.0,4.0,3.0,0.0,1.0,0.0,0.0,1,2,0,0,0,0,0,-2.0
210,TyMrt,0,G06,陽明公園站(規劃中),N,1.0,12,8,11,10,3,0,13,1,8,84,8810.43,936.38,33554.0,14.63,72.27,13.12,29.56,37.11,20.24,18.15,32.31,44.81,7.53,0.55,48.96,43.03,4.61,0.94,0.0,0.0,0.0,709.0,2.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,1,0.0
