,Station_Type,Activated,Station_ID,Station_Name,T_Status,Num_Transfer,Num_Atm,Num_Cstore,Num_Med,Num_Ele,Num_Sec,Num_High,All_School,Num_POI,Num_Park,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dep,Old_Dep,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth,Vol_All,Vol_Workday,Weekend,Median_Rent,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging,Cat_Vol,Cat_Rent,Cat_Cafe,Cat_Drink,Cat_Bar,Cat_Gym,Cat_Lodging,Cat_Cafe_Pre,Potential
25,TpMrt,1,BR08,科技大樓站,N,1.0,37,16,68,42,9,1,52,1,10,128,28482.53,1431.14,57898.0,14.33,65.78,19.89,23.71,37.66,21.79,30.24,49.24,32.05,4.05,0.24,46.95,46.59,5.61,0.75,28.412,31.322,20.94,2445.0,32.0,7.0,11.0,10.0,2.0,7.0,4,4,2,1,2,0,4,0.0
26,TpMrt,1,BR10_BL15,忠孝復興站,M,1.9999999999999998,67,27,185,33,6,1,40,1,8,142,33779.1,1415.25,68708.0,14.04,65.85,20.11,23.81,37.72,21.33,30.54,48.74,32.8,4.11,0.22,46.7,46.31,5.51,0.75,96.379,96.539,28.13,4000.0,40.0,15.0,39.0,26.0,17.0,8.0,7,4,4,6,7,2,4,0.0
27,TpMrt,1,BR11_G16,南京復興站,M,1.9999999999999998,73,29,81,32,5,0,37,4,11,127,29211.11,1391.34,60180.0,13.69,66.13,20.19,23.98,37.86,20.71,30.53,47.71,33.97,4.32,0.23,46.61,45.9,5.45,0.77,75.056,85.71700000000001,18.09,2323.0,20.0,8.0,13.0,18.0,11.0,8.0,4,4,2,2,5,1,4,0.0
28,TpMrt,1,BR12,中山國中站,N,1.0,52,21,60,29,2,0,31,0,9,100,22882.36,1366.93,47903.0,13.51,66.66,19.86,24.33,38.06,20.27,29.79,46.29,35.22,4.66,0.24,46.63,45.66,5.35,0.78,28.718000000000004,31.954,20.2,2308.0,14.0,5.0,11.0,12.0,4.0,7.0,4,4,1,1,3,0,4,0.0
29,TpMrt,1,BR13,松山機場站,N,1.0,11,4,8,27,3,0,30,0,8,94,21532.52,1341.76,45868.0,13.26,67.25,19.51,24.8,38.19,19.71,29.02,46.56,35.16,4.7,0.23,46.61,45.95,5.19,0.78,11.004,11.602,24.36,2967.0,11.0,0.0,1.0,4.0,0.0,6.0,5,3,0,0,1,0,4,1.0
30,TpMrt,1,BR14,大直站,N,1.0,19,10,35,14,3,1,18,2,9,57,12753.86,1293.76,28828.0,13.26,68.04,18.68,25.54,38.22,19.48,27.46,44.22,36.6,5.51,0.31,47.15,45.72,4.66,0.8,18.685,20.415,21.7,1950.0,12.0,3.0,4.0,3.0,0.0,7.0,3,3,0,0,0,0,3,0.0
31,TpMrt,1,BR15,劍南路站,N,1.0,22,7,8,15,1,1,17,3,8,31,8067.21,1362.47,17030.0,13.55,68.56,17.87,26.18,37.91,19.76,26.06,45.99,35.07,4.99,0.29,47.23,47.02,4.37,0.79,24.184,24.073,28.6,1936.0,11.0,2.0,3.0,4.0,0.0,7.0,3,3,0,0,1,0,3,0.0
32,TpMrt,1,BR16,西湖站,N,1.0,56,23,27,16,4,1,21,1,12,36,9221.2,1323.36,20312.0,13.72,69.58,16.68,26.73,38.33,19.71,23.98,45.5,35.46,4.95,0.29,47.35,46.8,4.14,0.83,30.234,37.309,11.54,1893.0,8.0,3.0,4.0,7.0,0.0,7.0,3,3,0,0,2,0,3,0.0
33,TpMrt,1,BR17,港墘站,N,1.0,55,24,43,15,3,0,18,1,6,41,11127.93,1352.78,23809.0,13.51,70.6,15.88,27.34,38.72,19.13,22.5,45.48,35.59,5.05,0.29,47.44,46.89,4.33,0.86,29.476,35.205,14.37,2072.0,12.0,1.0,4.0,11.0,0.0,7.0,4,3,0,0,3,0,3,0.0
34,TpMrt,1,BR18,文德站,N,1.0,9,4,14,23,9,1,33,1,8,42,11155.81,1336.67,24541.0,14.01,71.53,14.47,27.77,39.0,19.59,20.22,43.99,36.26,5.34,0.33,47.69,46.62,4.28,0.87,10.743,11.675999999999998,22.06,1600.0,8.0,0.0,0.0,5.0,0.0,6.0,3,3,0,0,1,0,3,0.0
35,TpMrt,1,BR19,內湖站,N,1.0,34,17,55,27,8,1,36,0,8,36,9583.9,1300.75,21902.0,14.67,72.12,13.21,28.44,38.75,20.35,18.32,43.35,36.57,5.07,0.31,47.63,46.27,4.01,0.88,18.135,18.773,25.74,2016.0,8.0,0.0,2.0,3.0,0.0,7.0,4,3,0,0,0,0,3,0.0
36,TpMrt,1,BR20,大湖公園站,N,1.0,7,3,10,15,0,0,15,2,11,37,9875.05,1319.31,22191.0,14.53,72.28,13.2,28.32,39.07,20.11,18.26,43.48,36.62,5.02,0.31,47.63,46.39,4.26,0.89,6.978,7.024,27.82,1368.0,3.0,0.0,1.0,1.0,0.0,6.0,2,1,0,0,0,0,2,1.0
