,Station_Type,Station_ID,Station_Name,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging
76,TpMrt,LG05,永和站(規劃中),8,1,3,8,0
77,TpMrt,LG06_Y12,中和站(規劃中),3,3,3,5,0
78,TpMrt,LG07,雙和醫院站(規劃中),7,1,3,5,0
79,TpMrt,LG08,中和高中站(規劃中),7,0,1,2,0
80,TpMrt,LG08A,莒光站(規劃中),2,0,0,1,0
81,TpMrt,LG09,廷寮站(規劃中),3,1,1,3,1
82,TpMrt,LG10,清水站(規劃中),2,2,2,8,0
83,TpMrt,LG11_BL03,土城站(規劃中),1,1,1,4,1
84,TpMrt,LG12,埤塘站(規劃中),4,0,0,2,1
85,TpMrt,LG13,中華中學站(規劃中),1,0,1,3,0
86,TpMrt,LG14,溪州站(規劃中),6,2,2,5,0
87,TpMrt,LG15,彭福站(規劃中),2,1,2,7,0
88,TpMrt,LG16,育林國小站(規劃中),4,1,0,3,0
89,TpMrt,LG17,樹人家商站(規劃中),6,2,2,2,0
90,TpMrt,LG18,潭底站(規劃中),1,0,0,0,0
91,TpMrt,LG19,監理所站(規劃中),0,0,0,0,0
92,TpMrt,LG20,三角埔站(規劃中),0,2,0,2,0
93,TpMrt_TyMrt,LG21_BRH8_O21,迴龍站(規劃中),1,1,1,3,0
94,TpMrt,O01,南勢角站,4,2,2,9,0
95,TpMrt,O02_Y11,景安站,7,3,3,11,0
96,TpMrt,O03,永安市場站,13,5,7,16,2
97,TpMrt,O04,頂溪站,14,1,3,8,1
98,TpMrt,O07_BL14,忠孝新生站,28,4,9,11,7
99,TpMrt,O09,行天宮站,16,5,7,10,12
100,TpMrt,O10,中山國小站,28,10,18,15,16
101,TpMrt,O12,大橋頭站,16,2,4,5,5
102,TpMrt,O13,台北橋站,3,0,3,8,2
103,TpMrt,O14,菜寮站,6,1,3,10,1
104,TpMrt_TyMrt,O15_A2,三重站,5,1,2,5,1
105,TpMrt,O16,先嗇宮站,2,0,0,2,0
106,TpMrt,O17_Y18,頭前庄站,0,0,0,3,3
107,TpMrt,O18,新莊站,3,1,2,4,1
108,TpMrt,O19,輔大站,3,0,4,7,0
109,TpMrt,O20,丹鳳站,3,1,2,5,1
110,TpMrt,O21,迴龍站,1,1,1,3,0
111,TpMrt,O50,三重國小站,5,0,3,5,2
112,TpMrt,O51,三和國中站,6,0,2,7,3
113,TpMrt,O52,徐匯中學站,8,0,2,8,1
114,TpMrt,O53,三民高中站,5,0,1,9,1
115,TpMrt,O54,蘆洲站,5,0,0,3,0
116,TpMrt,R02,象山站,19,3,10,10,0
117,TpMrt,R03,台北101/世貿站,33,9,20,13,2
118,TpMrt,R04,信義安和站,37,20,54,18,6
119,TpMrt,R05_BR09,大安站,30,8,12,14,8
120,TpMrt,R06,大安森林公園站,17,3,6,9,6
121,TpMrt,R07_O06,東門站,30,2,5,17,7
122,TpMrt,R08_G10,中正紀念堂站,25,1,3,12,0
123,TpMrt,R09,台大醫院站,28,1,4,3,60
124,TpMrt_TyMrt_Train_Thsr,R10_BL12_A1_1000_Taipei,台北車站,58,7,19,10,60
125,TpMrt,R11_G14,中山站,54,14,57,18,60
126,TpMrt,R12,雙連站,36,10,32,18,60
127,TpMrt,R13_O11,民權西路站,29,6,16,13,18
128,TpMrt,R14,圓山站,18,6,10,4,3
129,TpMrt,R15,劍潭站,7,4,4,6,2
130,TpMrt,R16,士林站,14,5,10,12,4
131,TpMrt,R17,芝山站,8,2,3,10,2
132,TpMrt,R18,明德站,10,1,2,8,0
133,TpMrt,R19,石牌站,9,2,1,6,0
134,TpMrt,R20,唭哩岸站,3,0,1,4,0
135,TpMrt,R21,奇岩站,4,0,2,4,0
