Station_Name,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dependency,Old_Dependency,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth
埔頂轉運站站(規劃中),17,1190.88,803.56,5953.0,14.65,72.35,12.97,30.37,36.05,20.25,17.92,26.41,48.21,9.73,0.87,50.19,42.52,4.79,1.01
桃園巨蛋站(規劃中),70,8060.92,944.45,30234.0,14.78,72.01,13.23,29.41,36.98,20.53,18.37,32.09,44.97,7.45,0.53,48.81,42.87,4.7,0.92
大同路口站(規劃中),51,4891.43,900.82,19387.0,14.3,72.34,13.36,29.79,37.07,19.77,18.47,30.62,46.46,7.87,0.57,49.3,42.66,4.85,0.92
振興路口站(規劃中),20,1975.28,845.22,8647.0,13.7,72.22,14.05,30.36,36.54,18.98,19.46,27.89,48.38,9.12,0.71,50.14,42.47,4.9,0.99
嶺頂站(規劃中),10,899.96,822.63,4048.0,14.35,72.85,12.8,31.37,36.04,19.7,17.57,26.58,48.96,9.21,0.72,50.32,43.18,4.97,1.01
大棟橋站(規劃中),16,1236.55,769.48,5872.0,12.72,75.44,11.85,31.91,38.03,16.86,15.71,26.57,51.21,8.8,0.56,49.85,42.22,5.07,0.82
龍華街口站(規劃中),45,4169.53,791.48,18507.0,13.46,75.86,10.67,31.9,38.47,17.74,14.07,27.79,50.98,7.28,0.4,49.21,42.35,4.12,0.82
山子頂站(規劃中),19,1886.64,830.75,8358.0,14.8,73.57,11.69,32.12,35.92,20.12,15.89,28.2,48.67,7.81,0.47,50.11,44.04,4.26,1.14
南勢站(規劃中),27,2613.75,848.62,11110.0,14.33,73.48,12.23,31.87,35.99,19.5,16.65,29.3,48.19,7.65,0.48,50.05,44.24,3.92,1.09
平鎮站(規劃中),60,6512.43,965.23,23966.0,15.13,72.15,12.74,30.17,36.45,20.96,17.66,34.12,44.17,6.1,0.38,49.31,43.69,4.5,1.0
褒忠祠站(規劃中),54,5831.41,972.39,21236.0,14.88,72.16,12.96,29.94,36.67,20.62,17.97,34.47,44.03,6.08,0.4,49.25,43.67,4.44,0.99
中壢高中站(規劃中),50,5563.66,984.54,20003.0,14.92,72.26,12.81,29.85,36.85,20.65,17.73,34.95,43.72,5.87,0.39,49.11,43.59,4.59,0.98
環北站(規劃中),55,6250.5,980.62,22603.0,15.72,71.78,12.5,29.68,36.6,21.91,17.41,34.67,43.26,5.81,0.38,48.99,43.44,4.51,0.99
新街站(規劃中),69,7523.97,959.2,27868.0,15.13,72.29,12.56,29.81,36.93,20.93,17.37,34.05,44.14,6.09,0.42,48.91,43.22,4.29,0.98
忠福站(規劃中),54,5796.29,961.08,21367.0,15.14,72.32,12.51,29.71,37.06,20.93,17.31,34.09,44.05,6.1,0.44,48.84,43.13,4.07,0.95
文化站(規劃中),36,4451.7,949.19,16796.0,15.07,73.56,11.34,30.6,37.24,20.49,15.41,32.61,45.09,6.48,0.54,49.05,43.2,4.17,1.02
龍山站(規劃中),36,4527.83,944.68,17217.0,15.27,73.68,11.03,30.48,37.3,20.73,14.97,32.36,45.08,6.59,0.53,49.07,42.8,4.28,1.0
龍安站(規劃中),40,5084.82,963.76,18704.0,14.91,73.42,11.66,30.1,37.4,20.31,15.88,33.2,44.5,6.73,0.55,49.06,43.07,4.34,0.97
中福站(規劃中),66,8529.87,1021.05,29400.0,15.25,72.45,12.33,28.79,37.68,21.05,17.02,34.22,43.45,6.46,0.47,48.55,42.94,4.52,0.91
埔子站(規劃中),70,9903.34,1044.44,33027.0,15.11,73.14,11.77,28.84,38.22,20.66,16.09,34.57,43.69,6.01,0.46,48.43,42.99,4.54,0.91
大檜溪站(規劃中),56,7549.68,1052.66,24999.0,15.36,72.47,12.18,28.45,37.93,21.2,16.81,34.25,43.59,6.18,0.46,48.27,42.96,4.68,0.9
萬華站,141,17835.42,1115.2,51587.0,12.94,69.3,17.78,26.0,38.77,18.67,25.65,37.58,41.42,7.38,0.52,48.32,43.95,5.27,0.76
五堵站,34,3329.86,920.61,11852.0,11.5,75.51,13.0,27.72,42.36,15.23,17.22,31.41,49.2,7.22,0.54,49.0,42.81,4.86,0.7
汐止站,36,4032.82,943.35,13604.0,10.73,76.3,12.98,27.71,43.37,14.07,17.01,32.82,49.13,6.69,0.5,48.59,43.21,5.26,0.7
汐科站,39,4607.48,970.81,14838.0,10.39,76.25,13.37,27.62,43.62,13.62,17.54,33.97,48.4,6.67,0.47,48.54,43.87,5.52,0.67
浮洲站,149,14340.0,879.22,57293.0,12.81,73.57,13.61,29.61,38.8,17.41,18.5,30.52,48.1,7.97,0.47,48.92,43.23,3.75,0.74
樹林站,71,6982.21,839.11,29367.0,12.97,75.17,11.85,30.67,39.09,17.26,15.76,28.84,49.61,7.97,0.46,49.33,42.65,3.87,0.77
南樹林站,41,4159.66,845.46,17424.0,13.23,74.98,11.79,30.34,38.86,17.64,15.72,27.88,50.11,8.18,0.46,49.6,42.67,3.62,0.76
山佳站,22,2317.01,905.79,8931.0,14.59,74.06,11.33,29.57,38.75,19.7,15.3,29.34,48.05,7.4,0.47,49.54,43.97,4.25,0.78
鶯歌站,25,2797.12,940.21,11500.0,16.18,72.43,11.4,28.49,38.14,22.34,15.74,30.38,46.04,6.84,0.46,49.03,42.85,4.97,0.83
福隆站,3,38.39,710.93,271.0,5.9,70.48,24.35,21.77,44.28,8.38,34.55,16.61,52.4,20.3,5.17,50.92,49.08,1.48,0.37
貢寮站,3,38.39,710.93,271.0,5.9,70.48,24.35,21.77,44.28,8.38,34.55,16.61,52.4,20.3,5.17,50.92,49.08,1.48,0.37
雙溪站,8,89.27,804.23,500.0,7.0,66.8,26.6,21.0,40.2,10.48,39.82,18.0,51.0,17.6,6.0,54.0,42.8,2.6,0.2
牡丹站,6,72.4,832.18,401.0,7.23,66.58,26.43,20.7,40.4,10.86,39.7,17.96,50.87,17.71,5.99,53.87,41.9,2.49,0.25
三貂嶺站,5,23.09,888.08,133.0,5.26,70.68,24.06,22.56,44.36,7.45,34.04,15.04,56.39,18.8,4.51,56.39,42.11,3.76,0.75
大華站,4,16.34,653.6,133.0,4.51,63.91,31.58,15.79,45.86,7.06,49.41,12.03,59.4,18.8,6.02,57.14,44.36,3.76,0.0
十分站,6,26.4,676.92,206.0,4.85,64.56,30.58,17.96,44.17,7.52,47.37,11.65,60.19,17.48,6.31,56.31,44.17,3.88,0.0
望古站,7,35.55,683.65,255.0,5.49,65.1,29.8,18.43,43.14,8.43,45.78,12.16,59.22,16.86,6.27,55.29,43.14,3.53,0.0
嶺腳站,7,30.4,646.81,210.0,6.19,67.14,27.62,19.52,42.86,9.22,41.13,12.86,59.52,16.67,5.24,55.71,42.38,2.86,0.0
平溪站,8,35.53,670.38,247.0,5.67,66.4,28.34,18.62,43.32,8.54,42.68,12.55,58.7,18.22,5.26,56.28,44.53,2.83,0.0
青桐站,7,33.47,669.4,234.0,5.98,66.24,28.21,18.38,43.16,9.03,42.58,12.39,58.55,18.38,5.13,55.98,44.02,2.56,0.0
猴硐站,10,242.95,786.25,1052.0,10.17,72.15,17.68,27.38,39.45,14.1,24.51,19.49,53.9,13.5,2.66,50.48,39.54,3.14,0.57
瑞芳站,16,557.55,745.39,2788.0,10.22,74.21,15.6,28.55,40.14,13.77,21.02,21.13,54.23,12.09,1.97,49.71,40.39,4.09,0.65
八斗子站,16,913.3,775.96,4412.0,10.92,76.52,12.53,29.65,41.12,14.28,16.38,25.91,53.72,8.39,0.88,49.71,41.14,6.07,0.68
